Conv_Date,Channel,Fraction_Revenue
2017-04-02,A,160.64
2017-04-02,H,0.0
2017-07-10,A,131.608
2017-07-10,B,0.0
2017-07-10,E,0.0
2017-09-29,G,179.92
2017-11-21,E,151.656
2018-01-14,A,55.9511301264
2018-01-14,B,0.0
2018-01-14,F,0.0
2018-01-14,G,57.99286987359999
2018-02-08,A,0.0
2018-02-08,B,103.8127585704
2018-02-08,F,0.0
2018-02-08,G,14.2681077968
2018-02-08,L,55.54313363280001
2018-02-17,A,44.31755625
2018-02-17,B,38.26862516
2018-02-17,F,0.0
2018-02-17,G,13.32467317
2018-02-17,H,16.79818771
2018-02-17,L,29.59095771000001
